img_url,header_text,details_text
https://cdn.newsfirst.lk/english-uploads/2024/07/Ali Sabry Reuters SS-760555.jpg,Sri Lanka Nears Completion of Debt Restructuring Process,"COLOMBO (News 1st); Sri Lanka's Foreign Affairs Minister Ali Sabry, PC believes that the island nation will be able to complete the Debt Restructuring process by the end of July 2024.Speaking at an event in Singapore, Ali Sabry said explained that the government, along with its financial and legal advisors and the bondholders' ad-hoc committee, which represents 52% of the bondholders, have agreed on the parameters for the restructuring. These parameters have been submitted to the International Monetary Fund (IMF) for review to ensure they comply with the IMF's Debt Sustainability Analysis (DSA).He emphasized the importance of aligning with the DSA to achieve debt sustainability, expressing confidence that the agreed parameters meet the necessary criteria. The final approval from the IMF and the Office of the Comptroller of the Currency (OCC) is anticipated by the end of the month.Once the approval is received, Sri Lanka will be able to officially conclude the debt restructuring process and begin the repayment phase, marking a significant milestone in the country's efforts to stabilize its financial situation, he said."
https://cdn.newsfirst.lk/english-uploads/2023/03/Train Delay File-716942.jpg,Strike Action Disrupts Rail Services; Limited Office Trains to Operate Tomorrow,"COLOMBO (News 1st); Railway Station Masters launched an immediate strike against the failure to provide solutions to their demands. The Department of Railways has taken a decision to cancel today’s (July 9) scheduled night mail trains due to a trade union action planned by station masters and train controllers starting from midnight. Additionally, preparations are underway to operate limited office trains tomorrow (July 10) by deploying the relevant personnel. In response to the strike action, the Ministry of Transport has facilitated an alternative for passengers with railway season tickets. They can utilize their season tickets to travel in the buses provided by the Sri Lanka Transport Board on July 10th."
https://cdn.newsfirst.lk/english-uploads/2024/07/Club Wasantha and Kanjipani-760539.jpg,KPI & 50 Seconds : Details Surface Over Club Wasantha's Brutal Murder,"COLOMBO (News 1st); It took approximately 50 seconds for two killers to rain down a hail of bullets from automatic rifles to carry out a daylight murder in the heart of Athurugiriya.On Monday (8), Surendra Wasantha Perera, also known as Club Wasantha, was brutally gunned down in Athurugiriya by two unidentified gunmen. Another person, who was injured, also died.CCTV footage recorded at the premises showed that the killers carried out the crime, in approximately 50 seconds, and fled.Sri Lanka Police said the shooting that led to the brutal murder of Club Wasantha, also known as Surendra Wasantha Perera, was orchestrated by two criminals: Gona Kovile Shanta and Loku Patti.Inspector General of Police Deshbandu Tennakoon confirmed that seven suspects have been apprehended in connection with the crime.Police Chief Deshbandu Tennakoon said that seven people were arrested for aiding and abetting in the brutal murders.According to the Police Chief, the crime was orchestrated by two individuals currently residing overseas.""We have made several important arrests, and their confessions have led to major revelations. I am confident that we will be able to uncover all details surrounding this crime in the coming days, while also arresting those connected to the crime,"" he said.The Inspector General of Police has confirmed that five police teams are currently conducting investigations under the direction of the Deputy Inspector General of Police in charge of the Western South Region into the shooting that claimed two lives.The shooting occurred around 10 a.m. on Monday (8) at a business establishment where Club Wasantha, also known as Surendra Wasantha Perera, and singer K. Sujeewa were attending the opening ceremony as guests.During the event, two individuals arrived in a white car and opened fire with two T-56 assault rifles before fleeing the scene.The getaway vehicle was discovered abandoned in the Korathota area of Navagamuwa at approximately 12:45 in the afternoon.The suspects then escaped to Bulathsinhala in a pre-prepared van, which was later found abandoned in the Bulathsinhala area last night.Club Wasantha and a 37-year-old man named Nayana Vasula Wijesuriya, a resident of Athurugiriya, lost their lives in the shooting.Surendra Wasantha Perera's wife, Menik Wijewardena, along with Yomana Kaushadhi, another individual, and popular local singer K. Sujeewa, sustained injuries and are receiving medical treatment.Singer K. Sujeewa underwent a four-hour surgery involving five medical teams due to severe injuries to her left leg sustained during the shooting.As the investigation unfolds, several critical leads have emerged, shedding light on the circumstances surrounding this crime.One interesting fact surrounding the crime is the detection of three letters on the bullets, namely KPI.What Is This KPI?Suspicions have arisen that the notorious underworld criminal Kanji Pani Imran is behind the recent shooting incident targeting Surendra Wasantha Perera and other members of the business club Wasantha.The evidence pointing to Imran's involvement includes the letters ""KPI"" found on the ammunition used in the attack.On February 5, 2019, local police in Dubai arrested notorious criminals Makadure Madush and Kanji Pani Imran.Reports at the time indicated that the arrest was based on a tip-off from another Sri Lankan underworld leade.The arrest took place during the birthday party of Madush's daughter, and Surendra Wasantha Perera had been invited to attend the party and was planning to travel to Dubai for the occasion but was prevented from doing so at the last moment.Following his arrest in Dubai, Kanji Pani Imran was extradited to Sri Lanka.He was apprehended by Sri Lankan police while attempting to escape to the Maldives.After being granted bail on January 20, 2022, Imran subsequently fled the country.""It is clear that some want to express certain views and comments on the short name of a criminal and link that criminal to this crime. However, police investigations go beyond that. Anyone can claim that a person linked to a crime. While bearing those in mind, the police investigations go beyond that scope,"" said the police chief.The latest developments in the investigation into the shooting incident have heightened concerns about the reach and influence of organized crime networks in Sri Lanka."
https://cdn.newsfirst.lk/english-uploads/2022/10/government logo-699799.jpg,Special Incentives To Non-Ex Public Officials Who Reported To Duty,"COLOMBO (News 1st);Non-executive government employees, who reported for duty on July 8 and 9, 2024, will be granted a special salary increment as a token of appreciation for their dedication during a challenging economic period. This increment was approved by the Cabinet following President Ranil Wickremesinghe’s proposal.Accordingly, the Secretary of the Ministry of Public Administration, Home Affairs, Provincial Councils, and Local Government has been directed to inform all Ministry Secretaries, Department Heads, and Provincial Chief Secretaries and to issue the relevant circulars.Certain trade unions in non-executive services had planned actions such as sick leave and strikes on the mentioned dates. Despite previous economic instability, the government managed to stabilize the situation through extensive economic reforms implemented over the last two years, including the provision of a monthly allowance of Rs. 10,000 to all public servants.The Treasury Secretary highlighted the existing financial constraints, stating that further salary or allowance increases would not be feasible without imposing additional tax burdens on the public. The government remains committed to avoiding decisions that could worsen the financial strain on citizens already facing economic challenges.Nonetheless, the government acknowledges its responsibility to recognize and assess non-executive officials who fulfilled their duties without resorting to disruptive measures during this critical period.Accordingly, instructions will be issued in a circular to all Ministry Secretaries, Department Heads, and Provincial Chief Secretaries in the presence of the Secretary of the Ministry of Public Administration, Home Affairs, Provincial Councils, and Local Government.Source: PMD"
https://cdn.newsfirst.lk/english-uploads/2022/08/Gavel -691519.jpg,Chief Justice Clarifies Judiciary’s Role Amidst Parliamentary Concerns,"COLOMBO (News 1st); In a communication addressed to the Speaker, Chief Justice Jayantha Jayasuriya underscored that the judiciary bears the solemn responsibility of exercising public jurisdiction across all domains, excluding Members of Parliament's privileges and powers.This notification comes in response to concerns raised by Minister of Justice Dr. Wijeyadasa Rajapakshe, who highlighted breaches of parliamentary privileges resulting from specific court actions.Chief Justice Jayantha Jayasuriya emphasizes that, according to the constitution, the judicial power of the people is exercised by the parliament through the courts.He notes that the direct exercise of this power by parliament is limited to its own powers and privileges and those of its members.In a letter addressed to the Speaker, Chief Justice Jayasuriya highlighted the responsibility of all sectors to protect and ensure the independence of the judiciary, essential for the proper exercise of judicial power.Translated Excerpt from the Letter:""The independence of the judiciary is recognized as an intangible heritage that guarantees the pride and prosperity of future generations of Sri Lankans and the global community. The constitution declares Sri Lanka's commitment to being a democratic socialist republic.""End Of Translated Excerpt.Chief Justice Jayasuriya further stressed that mutual respect and restraint between the parliament and the judiciary are crucial to protecting public welfare and upholding the rule of law.On June 19th, Minister of Justice Dr. Wijayadasa Rajapaksa raised several issues related to the judiciary in a statement to parliament.These included an interim order by the Supreme Court concerning the appointment of Supreme Court judges excluding the Chief Justice, opinions on interim orders by the Colombo District Court relating to the Sri Lanka Freedom Party.The Justice Minister in his statement to the parliament leveled strong criticisms at the current Secretary of the Judicial Service Commission.In response to the Minister's statements, the Judicial Services Association, representing District Judges and Magistrates, issued an statement on June 24th.They condemned the Minister's ""irresponsible statements"" and warned of a concerted effort to discredit impartial judges.On June 25th, Minister Rajapakshe wrote to the Speaker, claiming that his privileges were violated by the Judicial Service Association's letter.The Minister citing two individual circulars highlighted the limits imposed on the judges when commenting to the media.He requested that the two judges who signed the statement be summoned before the Privileges Committee of Parliament. He made the request by letter, copied to the Attorney General as well.Chief Justice Jayasuriya addressed the issues raised by Minister Rajapakshe in a letter to the Speaker on Monday (8).In addition, the Chief Justice as the Chairman of the Judicial Services Commission, and its members - Supreme Court Justices Vijith Malalgoda and E. A. G. R. Amarasekera had signed a letter as the Judicial Services Commission and directed separate observations to the speaker with regard to the concerns raised by the Justice Minister.Chief Justice Jayasuriya responding to the claims made by Dr. Wijeyadasa Rajapakshe over the appointment of Supreme Court Judges, noted that the two vacancies in question at the Supreme Court occurred on the 15th of November 2023, and 1st of March 2024.Chief Justice Jayasuriya clarified that the interim order on the Supreme Court appointments was issued on April 30th, 2024, and there were no legal obstacles to filling the vacancies between November 15, 2023, and March 1, 2024.He also stated that the appointment of the five vacant Court of Appeal judges could proceed without issue.Translated Excerpt from the Letter:""There was an error in the Honorable Minister's statement, naming the Honorable Colombo District Judge regarding orders in an ongoing case in which the Minister is a party. Standing Order 91 (E) applies to statements made in parliament regarding existing cases.""End Of Translated Excerpt.The Judicial Service Commission in its letter to the Speaker emphasized that the Judicial Services Association's press release was based on official matters.They noted that the circular cited by the Minister warned against harming the independence and dignity of the judiciary through media statements.The Commission affirmed their confidence in the Secretary of the Judicial Service Commission, stating that he had not misused any rights or privileges."
https://cdn.newsfirst.lk/english-uploads/2022/09/Ali Sabry-694338.jpg,"Sri Lanka Trying To Increase Income, Instead Of Reducing Prices - Ali Sabry","COLOMBO (News 1st); Sri Lanka's Foreign Affairs Minister Ali Sabry, PC speaking to Channel News Asia had noted that the country is facing a challenge as despite the economy showing positive signs, the prices of of products are not coming down.Acknowledging the ongoing economic developments, Sabry cited positive indicators such as economic growth surging to 5.3%, the return of tourists, the strengthening of the Sri Lankan rupee, and remarkable improvements in reserves and primary account balance.Despite these advancements, he noted the challenge of aligning income levels with the soaring prices that persisted during a period of inflation in mid-2022.""But prices which have escalated during the height of inflation in 2022 mid-part had not come down. So proportionately the income of the people have not risen up to that. So our challenge is, rather than trying to bring the prices down, increase the income and the salaries of our people as we go forward. Probably that's our target for the next 6 to 18 months,"" he said.Addressing the pressing need to uplift people's income, Foreign Affairs Minister Ali Sabry emphasized the critical importance of combating corruption, enhancing service efficiency, bridging the digital divide, and investing significantly in key economic sectors.Speaking to Channel News Asia in Singapore, Sabry highlighted the crucial areas to bolster the economy, including renewable energy, port development, and positioning Sri Lanka as a strategic maritime and air traffic hub.Sabry stressed the necessity of prioritizing income growth over price reduction in the coming months to uplift the livelihoods of citizens effectively."
https://cdn.newsfirst.lk/english-uploads/2024/07/Kathiravelu Sanmugam Kuhadasan ITAK Parliament Sri Lanka-760513.jpg,Kuhadasan Fills Sampanthan's Parliament Seat,"COLOMBO (News 1st); Kathiravelu Sanmugam Kuhadasan took oath as a Member of Parliament in the presence of the speaker, this morning.He took oath to fill the parliamentary seat left vacant following the demise of R. Sampanthan.MP Kathiravelu Sanmugam Kuhadasan received 16,770 votes at the previous general election representing ITAK."
https://cdn.newsfirst.lk/english-uploads/2022/08/Shooting 1-691844.jpg,Police To Review Security Footage in Athurugiriya Shooting,"COLOMBO (News 1st); Statements have been gathered from five individuals who were present during the fatal shooting in Athurugiriya on Monday (8) morning, including the owner of the establishment, a new tattoo parlour, where the shooting occurred.Authorities made a significant breakthrough when a van, believed to have been used by the suspects to flee, was discovered abandoned in the Delmaella area of Bulathsinghala.Additionally, the car in which the suspects purportedly arrived at the location of the shooting was located on a road in Korathota, Navagamuwa.Sri Lanka Police said that the assailants first fled in the car, then switched to a van, and eventually abandoned it to flee.Tragically, the shooting resulted in the loss of two lives, including the well-known businessman Surendra Wasantha Perera, also known as Club Wasantha, and a 37-year-old resident of Rathuwilawatta, Athurugiriya.Furthermore, several individuals, including popular singer K. Sujeewa, sustained injuries and were admitted to the hospital for medical care. As the investigation intensifies, the police have revealed plans to review security camera footage from the scene of the incident. .Ten police teams have been assigned to investigate the shooting.On Monday (8), Sri Lanka Police said that initial investigations have revealed that the shooting was planned from overseas."
https://cdn.newsfirst.lk/english-uploads/2024/07/Modi Meets Putin-760499.jpg,Modi-Putin Deal: Rupee-Ruble Trade To Boost Economy & Potentially Help Sri Lanka,"COLOMBO (News 1st); Indian Prime Minister Narendra Modi and Russian President Vladimir Putin have commenced structured talks in Moscow, placing the Rupee-Ruble trade deal at the top of their agenda. This agreement is expected to benefit not just for India and Russia, but for their neighboring countries as well, including Sri Lanka.Prime Minister Modi's two-day visit to Russia, his first since the onset of the Ukraine conflict, marks a crucial point in Indo-Russian relations. The discussions, taking place at Putin's residence and later at the Kremlin, are set to cover a range of global issues, with a strong emphasis on economic cooperation and defense deals.Abhay Singh, a prominent Indian-origin lawmaker in Russia, has highlighted the significance of the Rupee-Ruble trade deal.""This deal will strengthen the currencies of both nations. Neighboring countries of India, like Sri Lanka, Bangladesh, and Nepal, will use the Indian rupee, while Russia's neighbors, including Belarus and Kazakhstan, will adopt the Russian ruble,"" Singh explained.Singh elaborated on the potential benefits, stating, ""The Rupee-Ruble deal is a very good agreement. It will enhance trade not only between India and Russia but also with other neighboring countries. For instance, they could purchase petrol using Indian rupees, which would then be paid to Russia in rubles. This shift could diminish the dominance of the US dollar and fortify the rupee and ruble.""This potential shift in trade dynamics comes on the heels of other significant economic developments. Last week, Iran and Russia signed their first bilateral monetary agreement, designed to bolster their financial and economic ties amidst US sanctions. Iran's integration into the MIR payment system, Russia's alternative to Visa and Mastercard, will enable Iranians to withdraw money from Russian ATMs using Iranian bank cards from late August.Furthermore, in February 2024, Prime Minister Modi, along with Sri Lankan President Ranil Wickremesinghe and Mauritian Prime Minister Pravind Jugnauth, inaugurated the launch of Unified Payment Interface (UPI) services in Sri Lanka and Mauritius.UPI is an instant real-time payment system that facilitates inter-bank transactions via mobile phones, reflecting India's growing influence in regional financial infrastructure.As Modi and Putin navigate the future of the Rupee-Ruble trade deal, the ripple effects on regional economies, particularly Sri Lanka, could be substantial.Strengthening the rupee and ruble through such agreements promises to reshape trade practices, potentially reducing reliance on the US dollar and fostering greater economic stability in the region."
https://cdn.newsfirst.lk/english-uploads/2024/01/Hambantota Port RORO-744376.jpg,Hambantota Port Launches Green Zone Program,"COLOMBO (News 1st); The Hambantota International Port (HIP) launched a program for the establishment of a green zone that will see the reforestation and afforestation of land.The Afforestation of the port’s reclaimed land and reforestation, marks a significant milestone in HIP's journey towards minimising its carbon footprint.The Hambantota International Port (HIP) said that the final objective of the program is to be come carbon neutral.It added the initiatives, that would materialise over the next 3-5 years, aligns seamlessly with the port's vision of fostering environmental stewardship along with robust commercial infrastructure development.CEO of Hambantota International Port Group (HIPG), Johnson Liu said while the planting of trees particularly within the Port area and on breakwaters, has a positive impact on the environment, there is the aesthetic factor which one has to take into account especially considering HIP’s development as a cruise ship port.Since January 2018, HIP has planted a total of 13,371 trees and plants across its premises and neighbouring communities as part of its Green Port initiative. This year alone, HIP aims to plant over 900 trees, with a projected target of exceeding 17,000 trees within port premises and surrounding community areas by 2028."
